TV ONE,Apa Kabar Indonesia Siang,2023.11.08 13:00:00,2023.11.08 14:29:59,News,FUSENRmfd0
TV ONE,Kabar Pem1lu,2023.11.08 14:30:00,2023.11.08 15:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara,2023.11.08 15:30:00,2023.11.08 15:59:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.08 16:00:00,2023.11.08 17:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Malam,2023.11.08 18:00:00,2023.11.08 19:59:59,News,FUSENRmfd0
TV ONE,Indonesia Business Forum,2023.11.08 20:00:00,2023.11.08 20:59:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.08 21:00:00,2023.11.08 21:59:59,News,FUSENRmfd0
TV ONE,Jejak Pem1lu,2023.11.08 22:00:00,2023.11.08 22:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.08 22:30:00,2023.11.08 23:29:59,News,FUSENRmfd0
TV ONE,Kabar Arena Malam,2023.11.08 23:30:00,2023.11.08 23:59:59,News,FUSENRmfd0
TV ONE,AB Shop,2023.11.09 00:00:00,2023.11.09 00:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.09 00:30:00,2023.11.09 00:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.09 01:00:00,2023.11.09 01:29:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.09 01:30:00,2023.11.09 02:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.09 03:00:00,2023.11.09 03:29:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini ,2023.11.09 03:30:00,2023.11.09 03:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.09 04:00:00,2023.11.09 04:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Pagi,2023.11.09 04:30:00,2023.11.09 05:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.09 06:00:00,2023.11.09 06:29:59,General Entertainment,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Pagi,2023.11.09 06:30:00,2023.11.09 08:29:59,News,FUSENRmfd0
